,order_id,assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,position,type,base_sequence_id,skill_id,skill_name,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,answer_id,answer_text,first_action,bottom_hint,opportunity,opportunity_original
370916,34287102,279728,78764,52312,91646,1,0,2,84998,tutor,algebra,7220,12375,5,MasterySection,6180,303.0,Volume Cylinder,46174,5056,3,3,98326,31687,,12.64,0,1.0,178,178.0
439672,34299362,279733,78544,52333,91667,1,1,1,94650,tutor,algebra,7220,12262,5,MasterySection,6180,317.0,Greatest Common Factor,46174,5056,0,3,94650,47492,,4,0,,173,173.0
256166,38224194,291423,96271,32173,49366,0,0,1,1439,tutor,algebra,5925,14415,88,MasterySection,5925,92.0,Pattern Finding ,69274,2770,3,3,7397,30036,,,1,1.0,59,
222921,21869474,261364,79582,37118,58675,1,1,1,7940,tutor,choose_1,5979,12361,25,MasterySection,5979,79.0,Proportion,45671,5049,0,5,7940,34868,88373.0,,0,,4,4.0
484586,32883880,274324,79060,72745,134993,1,1,1,3534,tutor,fill_in_1,9906,12886,54,MasterySection,9906,,,42999,2770,0,0,3534,58035,,y^5,0,,170,83.0
239578,30474756,271947,78907,63107,120285,1,1,1,3230,tutor,algebra,9142,12885,24,MasterySection,8657,85.0,Absolute Value,42999,2770,0,2,3230,63038,,17,0,,7,7.0
429658,24730250,265365,79033,57438,108025,1,1,1,20106,tutor,algebra,5969,12351,62,MasterySection,5969,312.0,Equation Solving More Than Two Steps,42999,2770,0,0,20106,55835,,-0.15,0,,18,9.0
56469,31128306,271990,78991,33189,51474,1,1,1,26789,tutor,algebra,9875,12888,30,MasterySection,9875,15.0,Range,42999,2770,0,4,26789,30060,,6,0,,14,14.0
263832,29768967,271846,78920,49902,88620,1,1,1,3663,tutor,algebra,9861,12886,12,MasterySection,9861,276.0,Multiplication and Division Positive Decimals,42999,2770,0,4,3663,46300,,0.02,0,,5,5.0
313219,31396889,273179,86715,47754,86355,1,1,1,37791,tutor,algebra,10471,12833,1,MasterySection,6910,280.0,Addition and Subtraction Fractions,57051,5307,0,4,37791,46265,,32/45,0,,3,3.0
11863,38242264,290774,96285,36594,57132,1,1,1,49693,tutor,fill_in_1,5947,14414,216,MasterySection,5947,4.0,Histogram as Table or Graph,69274,2770,0,4,49693,32453,,92,0,,3,3.0
305498,32664596,276095,88973,34759,54454,1,1,1,72942,tutor,algebra,5966,13149,8,MasterySection,5966,279.0,Multiplication and Division Integers,59882,5260,0,4,72942,30726,,2,0,,4,4.0
228963,32258802,277505,70746,49165,87845,1,0,4,44017,tutor,algebra,6924,13241,13,MasterySection,6924,81.0,Unit Rate,22763,73,0,3,70345,46343,,4.56,0,,10,10.0
7389,31719387,271910,79547,52664,92344,1,0,2,20025,tutor,algebra,9868,12888,18,MasterySection,9868,2.0,Circle Graph,42999,2770,0,3,23624,30037,,79,0,,7,7.0
65081,32175714,270291,78970,53789,93760,1,0,1,29890,tutor,algebra,7123,12351,157,MasterySection,7123,17.0,Probability of Two Distinct Events,42999,2770,4,4,73102,52604,,,1,1.0,28,28.0
23837,24827336,220658,80807,31650,48074,1,1,1,38306,tutor,algebra,5903,11816,6,MasterySection,5903,10.0,Table,22763,73,0,0,38306,30551,,3000/14000,0,,8,8.0
426301,35277190,277655,70816,57448,108070,0,1,1,14754,tutor,choose_1,5969,13241,163,MasterySection,5969,312.0,Equation Solving More Than Two Steps,22763,73,0,0,14754,55836,198642.0,,0,,3,
316305,32774552,278362,89049,47940,86543,1,0,1,1768,tutor,algebra,6910,13286,5,MasterySection,6910,280.0,Addition and Subtraction Fractions,59882,5260,4,4,12637,46266,,,1,1.0,7,7.0
227967,38190000,291365,96246,36821,57644,1,1,1,51671,tutor,algebra,5916,14415,148,MasterySection,5916,79.0,Proportion,69274,2770,0,0,51671,30397,,300,0,,3,3.0
524306,38253395,290602,96290,74343,138122,1,0,1,1157,tutor,algebra,9885,14412,36,MasterySection,9885,,,69274,2770,2,2,6594,74315,,,1,1.0,13,10.0
289209,26320362,268050,78782,34576,54055,1,1,1,32188,tutor,algebra,8905,12574,23,MasterySection,5962,278.0,Addition and Subtraction Positive Decimals,11804,76,0,0,32188,30677,,3.3,0,,3,3.0
101428,35136193,277686,73684,41127,71811,1,1,1,6036,tutor,algebra,6068,13241,194,MasterySection,6056,46.0,Calculations with Similar Figures,22763,73,0,4,6036,32329,,12,0,,17,17.0
25040,38269999,290759,96217,36515,56895,1,1,1,10483,tutor,algebra,5923,14414,221,MasterySection,5923,10.0,Table,69274,2770,0,0,10483,30370,,26,0,,16,16.0
495035,25134622,267301,80613,44438,80411,0,0,2,5421,tutor,fill_in_1,8710,12574,13,MasterySection,6472,,,11804,76,0,3,10171,41938,,1,0,,14,
37962,35213537,281174,78583,53200,93160,1,1,1,14612,tutor,algebra,7228,12375,29,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,14612,52495,,7,0,,83,83.0
297560,36395562,285866,77899,99360,189554,1,1,1,3260,tutor,algebra,11899,14033,6,MasterySection,11899,279.0,Multiplication and Division Integers,48183,139,0,2,3260,31001,,-2,0,,519,519.0
276891,24238481,266575,83477,50806,89720,1,0,2,42998,tutor,algebra,8004,12309,2,MasterySection,7012,277.0,Addition and Subtraction Integers,35135,1357,0,3,47154,29882,,-11,0,,2,2.0
139091,24853231,267115,78100,56284,99687,1,1,1,9621,tutor,choose_1,7629,12106,18,MasterySection,5951,50.0,Ordering Fractions,47664,5056,0,0,9621,55827,181347.0,,0,,6,6.0
318725,29427932,271637,75169,53016,92974,1,0,1,40929,tutor,fill_in_1,7112,11816,222,MasterySection,7112,293.0,Translations,22763,73,4,6,82565,50410,,,1,1.0,1,1.0
490560,20841886,261340,79589,34581,54076,0,1,1,67062,tutor,algebra,5962,12361,1,MasterySection,5962,,,45671,5049,0,3,67062,30677,,-0.2,0,,1,
423924,38165418,291454,96261,48819,87499,1,0,5,16573,tutor,algebra,6922,14415,57,MasterySection,6922,311.0,Equation Solving Two or Fewer Steps,69274,2770,3,3,91966,46276,,7,0,1.0,8,8.0
54537,23523801,265506,82279,36567,57051,1,1,1,15062,tutor,algebra,5933,12507,8,MasterySection,5933,14.0,Mode,43015,2770,0,0,15062,30375,,10,0,,1,1.0
311545,27800476,266609,83660,34355,53780,1,1,1,36836,tutor,algebra,8468,12634,14,MasterySection,5960,280.0,Addition and Subtraction Fractions,54767,5117,0,3,36836,30648,,-0.222222222,0,,12,12.0
92679,38294468,290888,96227,41558,72831,1,0,1,30671,tutor,algebra,6072,14414,105,MasterySection,6072,34.0,Unit Conversion Within a System,69274,2770,0,0,30734,32876,,6,0,,1,1.0
135566,30080429,267351,83314,39520,66443,1,1,1,5896,tutor,choose_1,8430,12634,27,MasterySection,6040,49.0,Ordering Positive Decimals,54767,5117,0,1,5896,30055,105258.0,,0,,6,6.0
518079,38194712,291481,96237,38320,61497,0,0,1,12236,tutor,fill_in_1,6022,14415,45,MasterySection,6022,,,69274,2770,3,3,29236,30306,,,1,1.0,39,
26034,38301921,291374,96276,36474,56772,1,0,1,71635,tutor,algebra,5922,14415,136,MasterySection,5922,10.0,Table,69274,2770,0,0,71682,30369,,46,0,,10,10.0
456553,38225831,291426,96244,35529,55305,1,1,1,57508,tutor,algebra,5973,14415,85,MasterySection,5973,368.0,Solving for a variable,69274,2770,0,4,57508,30851,,1.63636363,0,,35,35.0
323174,33704630,279732,78565,50408,89301,1,1,1,25051,tutor,algebra,7212,12262,6,MasterySection,6272,295.0,Area Parallelogram,46174,5056,0,3,25051,30011,,40,0,,46,46.0
11131,34895766,277625,79319,33030,51315,1,1,1,30367,tutor,fill_in_1,5947,13241,133,MasterySection,5947,4.0,Histogram as Table or Graph,22763,73,0,4,30367,32117,,80,0,,5,5.0
28544,34290188,280037,78517,53260,93220,1,1,1,46660,tutor,algebra,7228,12262,12,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,46660,52497,,22,0,,12,12.0
62619,33888476,278442,90133,53688,93659,1,1,1,12110,tutor,algebra,7120,13356,1,MasterySection,7120,16.0,Counting Methods,61241,5386,0,2,12110,52590,,20,0,,4,4.0
480955,21703401,262766,79018,38606,62575,0,1,1,2798,tutor,algebra,6039,12351,24,MasterySection,6039,,,42999,2770,0,3,2798,30450,,0.5,0,,35,
477344,26118555,262778,78979,38377,61668,0,1,1,7154,tutor,fill_in_1,6022,12351,45,MasterySection,6022,,,42999,2770,0,3,7154,30488,,48,0,,75,
219641,29483246,270590,70708,48310,86920,1,1,1,39392,tutor,algebra,6915,11816,164,MasterySection,6915,79.0,Proportion,22763,73,0,3,39392,30908,,72,0,,17,17.0
439018,33649027,279733,78521,52327,91661,1,0,1,41607,tutor,algebra,7220,12262,5,MasterySection,6180,317.0,Greatest Common Factor,46174,5056,3,3,65504,47492,,,1,1.0,69,69.0
118006,36687219,266705,82056,46667,84955,1,1,1,5255,tutor,algebra,7837,12542,29,MasterySection,6849,47.0,Conversion of Fraction Decimals Percents,52667,2770,0,2,5255,29946,,0.785,0,,5,5.0
363959,33666406,279733,78541,50870,89784,1,1,1,107556,tutor,algebra,7220,12262,5,MasterySection,6180,303.0,Volume Cylinder,46174,5056,0,3,107556,31687,,12.56,0,,84,84.0
206743,31640068,274499,79739,44430,80358,1,1,1,6907,tutor,algebra,6472,12437,20,MasterySection,6472,75.0,Square Root,43007,2770,0,0,6907,41938,,4,0,,9,9.0
327218,35108135,281001,78522,52023,91347,1,1,1,17733,tutor,algebra,7212,12262,23,MasterySection,6272,296.0,Area Rectangle,46174,5056,0,2,17733,30000,,36,0,,431,431.0
380138,33667989,279733,78536,50961,89875,1,1,1,26479,tutor,algebra,7220,12262,5,MasterySection,6180,307.0,Volume Rectangular Prism,46174,5056,0,3,26479,47492,,2,0,,465,465.0
209441,35732684,272587,78877,37791,60076,1,0,1,1172,tutor,fill_in_1,6011,12438,29,MasterySection,6011,76.0,,23907,76,5,6,8875,30478,,,1,0.0,35,35.0
518081,38194724,291382,96237,36763,57472,0,1,1,4828,tutor,algebra,5914,14415,127,MasterySection,5914,,,69274,2770,0,3,4828,30041,,4,0,,41,
303689,24581504,266602,83638,51380,90600,1,1,1,5384,tutor,algebra,8440,12634,7,MasterySection,7025,279.0,Multiplication and Division Integers,54767,5117,0,0,5384,30017,,5,0,,7,7.0
358403,25755816,266417,79063,51175,90209,1,0,2,98928,tutor,algebra,7021,12352,117,MasterySection,6152,301.0,Surface Area Rectangular Prism,42999,2770,0,2,122766,47535,,160,0,,16,16.0
462541,21443958,263315,74384,34575,54052,0,1,1,29439,tutor,algebra,5962,12476,7,MasterySection,5962,,,22763,73,0,3,29439,30677,,0.5,0,,4,
299810,36395746,285856,77899,34693,54298,1,1,1,3869,tutor,algebra,5965,14033,4,MasterySection,5965,279.0,Multiplication and Division Integers,48183,139,0,0,3869,30016,,-72,0,,2769,2769.0
511931,32773557,278361,89056,34583,54085,0,0,2,4329,tutor,algebra,5962,13286,4,MasterySection,5962,,,59882,5260,0,2,10299,30677,,6,0,,11,
179083,34295888,280036,78541,47152,85668,1,1,1,71854,tutor,algebra,7201,12262,13,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,71854,46399,,$36.72 ,0,,98,98.0
402749,27910680,266520,78010,57394,107781,1,1,1,129967,tutor,algebra,5970,12349,13,MasterySection,5970,311.0,Equation Solving Two or Fewer Steps,11446,1645,0,0,129967,55901,,-3 1/2,0,,10,10.0
443227,33947246,279728,78927,52333,91667,1,0,10,400890,tutor,algebra,7220,12375,5,MasterySection,6180,317.0,Greatest Common Factor,46174,5056,3,3,514847,47492,,28,0,1.0,38,38.0
479186,33889442,271259,78989,42122,74846,0,0,2,30162,tutor,algebra,6055,12351,181,MasterySection,6055,,,42999,2770,3,3,42849,30409,,394,0,1.0,264,
498658,22991372,265502,82339,32025,48898,0,1,1,35893,tutor,choose_1,5921,12507,4,MasterySection,5921,,,43015,2770,0,2,35893,30244,72011.0,,0,,1,
394513,23688856,263398,74678,32979,51168,1,1,1,28003,tutor,algebra,5946,12481,2,MasterySection,5946,309.0,"Order of Operations +,-,/,* () positive reals",22763,73,0,3,28003,29981,,71,0,,1,1.0
367823,33703272,279733,78570,50858,89772,1,1,1,262365,tutor,algebra,7220,12262,5,MasterySection,6180,303.0,Volume Cylinder,46174,5056,0,3,262365,31687,,21.195,0,,38,38.0
502113,26764267,268832,85008,32022,48886,0,1,1,5839,tutor,choose_1,5921,12528,7,MasterySection,5921,,,53106,139,0,2,5839,30244,71987.0,,0,,4,
408832,24706360,266679,78973,49352,88037,1,1,1,9750,tutor,algebra,6929,12351,79,MasterySection,6929,311.0,Equation Solving Two or Fewer Steps,42999,2770,0,3,9750,46280,,-9,0,,19,19.0
99570,35616073,273702,84140,50628,89542,1,1,1,36258,tutor,algebra,7210,12661,41,MasterySection,6181,40.0,Circumference ,55425,5056,0,3,36258,29984,,25.12,0,,5,5.0
333878,33726058,279730,78579,52023,91347,1,1,1,25041,tutor,algebra,7212,12375,6,MasterySection,6272,296.0,Area Rectangle,46174,5056,0,2,25041,30000,,36,0,,224,224.0
345291,38280421,290894,96218,42884,76266,1,1,1,76756,tutor,algebra,6272,14414,96,MasterySection,6272,297.0,Area Trapezoid,69274,2770,0,0,76756,31690,,40,0,,3,2.0
339371,35112653,281001,78537,52072,91396,1,1,0,1,tutor,algebra,7212,12262,23,MasterySection,6272,297.0,Area Trapezoid,46174,5056,0,3,1,30012,,60,0,,45,45.0
503023,28797418,270915,85690,34578,54066,0,0,4,10625,tutor,algebra,5962,12872,2,MasterySection,5962,,,45671,5049,0,3,127704,30677,,-3.2,0,,6,
10921,28621252,270282,79033,53172,93132,1,0,5,53748,tutor,fill_in_1,7113,12351,136,MasterySection,7113,4.0,Histogram as Table or Graph,42999,2770,3,3,155761,32148,,21,0,1.0,1,1.0
402565,25374895,266519,77991,49672,88364,1,0,2,255278,tutor,algebra,6943,12349,12,MasterySection,6943,311.0,Equation Solving Two or Fewer Steps,11446,1645,0,3,426937,46285,,-2,0,,5,5.0
27500,35104008,280998,78500,53270,93230,1,1,0,0,tutor,algebra,7228,12375,24,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,0,52497,,25,0,,114,114.0
259028,38262910,290909,96216,51532,90856,1,0,4,94968,tutor,fill_in_1,7032,14414,83,MasterySection,7032,96.0,,69274,2770,0,2,153560,49982,,X14,0,,1,1.0
181586,35117931,281003,78556,46773,85101,1,1,0,1,tutor,algebra,7201,12262,25,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,1,46399,,55.08,0,,100,100.0
301989,21591445,261345,79581,34781,54502,1,1,1,23546,tutor,algebra,5967,12361,6,MasterySection,5967,279.0,Multiplication and Division Integers,45671,5049,0,0,23546,29924,,-6,0,,5,5.0
39791,34287334,280033,78902,53241,93201,1,1,1,72156,tutor,algebra,7228,12375,12,MasterySection,7114,11.0,Venn Diagram,46174,5056,0,2,72156,52497,,21,0,,124,124.0
428955,24710997,266682,79013,57493,108271,0,1,1,15323,tutor,choose_1,5969,12351,82,MasterySection,5969,312.0,Equation Solving More Than Two Steps,42999,2770,0,0,15323,55836,198884.0,,0,,7,
208246,34009187,276994,83208,44443,80436,1,0,1,17952,tutor,algebra,8125,12309,55,MasterySection,6472,75.0,Square Root,35135,1357,0,0,18108,41938,,5,0,,18,18.0
522409,38238619,290583,96277,73570,136083,1,1,1,15783,tutor,fill_in_1,9913,14412,55,MasterySection,9913,,,69274,2770,0,0,15783,73258,,3/(4(d^4)),0,,72,56.0
379733,33666028,279733,78536,50936,89850,1,0,2,30067,tutor,algebra,7220,12262,5,MasterySection,6180,307.0,Volume Rectangular Prism,46174,5056,0,3,62904,47492,,10,0,,60,60.0
78742,38259112,290762,96215,41686,73409,1,1,1,10571,tutor,algebra,6093,14414,226,MasterySection,6093,18.0,Probability of a Single Event,69274,2770,0,0,10571,30246,,15/22,0,,2,2.0
375760,33649267,279733,78515,50905,89819,1,1,1,49530,tutor,algebra,7220,12262,5,MasterySection,6180,307.0,Volume Rectangular Prism,46174,5056,0,2,49530,31688,,60,0,,50,50.0
19859,32529235,277640,70816,36533,56949,1,1,1,94624,tutor,algebra,5923,13241,148,MasterySection,5923,10.0,Table,22763,73,0,0,94624,30370,,29,0,,3,3.0
251351,35024940,266692,79015,32171,49358,1,1,1,262366,tutor,algebra,5925,12351,88,MasterySection,5925,92.0,Pattern Finding ,42999,2770,0,0,262366,30036,,51600,0,,19,15.0
445142,23934462,265357,79057,32275,49688,1,1,1,9640,tutor,algebra,5927,12352,90,MasterySection,5927,323.0,Write Linear Equation from Situation,42999,2770,0,4,9640,30415,,7w+18,0,,4,4.0
258116,34612035,278318,88642,51669,90993,1,0,4,12314,tutor,algebra,7033,13257,6,MasterySection,7033,94.0,,60450,5448,2,3,32279,48523,,20,0,0.0,16,16.0
355219,33723066,279730,78590,52065,91389,1,0,2,27826,tutor,algebra,7212,12375,6,MasterySection,6272,298.0,Area Triangle,46174,5056,0,3,124539,30010,,270,0,,2,2.0
374049,33856462,279728,78495,50924,89838,1,1,1,66227,tutor,algebra,7220,12375,5,MasterySection,6180,307.0,Volume Rectangular Prism,46174,5056,0,3,66227,47492,,5,0,,255,255.0
373341,34057161,279728,78492,50962,89876,1,0,2,127597,tutor,algebra,7220,12375,5,MasterySection,6180,307.0,Volume Rectangular Prism,46174,5056,3,3,166621,47492,,5.8,0,1.0,213,213.0
225249,35099253,268663,84399,37128,58685,1,1,1,311702,tutor,choose_1,5979,12696,13,MasterySection,5979,79.0,Proportion,55938,5255,0,5,311702,34868,88413.0,,0,,5,5.0
250945,29254293,270286,78984,32163,49334,1,1,1,44172,tutor,algebra,5925,12351,143,MasterySection,5925,92.0,Pattern Finding ,42999,2770,0,0,44172,30036,,84000,0,,46,30.0
465662,31345179,272585,77945,38383,61687,0,0,2,149189,tutor,algebra,6022,12438,27,MasterySection,6022,,,23907,76,5,5,168608,30488,,,1,1.0,98,
83951,36390616,285723,92247,76003,143003,1,1,1,3624,tutor,algebra,9278,14020,6,MasterySection,9278,26.0,Angles on Parallel Lines Cut by a Transversal,58932,4780,0,3,3624,63805,,53,0,,2,2.0
115542,22434291,264292,79714,47477,86067,1,1,1,31953,tutor,algebra,7762,12432,6,MasterySection,6891,47.0,Conversion of Fraction Decimals Percents,49070,5177,0,3,31953,29868,,0.1,0,,5,5.0
192846,29539288,271865,86324,31400,47072,1,0,0,169162,tutor,algebra,10142,12765,2,MasterySection,10142,70.0,Percent Of,56898,5260,0,0,169162,30038,,,2,,1,1.0
217504,26070290,263870,84665,53480,93451,1,0,1,15774,tutor,algebra,7118,12512,144,MasterySection,7118,77.0,Finding Percents,52749,73,3,3,24323,52571,,,1,1.0,2,2.0
229944,30694988,272585,78994,38371,61649,1,0,1,108159,tutor,algebra,6022,12438,27,MasterySection,6022,81.0,Unit Rate,23907,76,0,0,108179,30488,,48,0,,6,6.0
444767,23961866,265357,78922,32317,49730,1,1,1,39272,tutor,algebra,5927,12352,90,MasterySection,5927,323.0,Write Linear Equation from Situation,42999,2770,0,4,39272,30416,,55+10w,0,,2,2.0
424646,38266857,291430,96273,55563,97535,1,1,1,13518,tutor,algebra,5968,14415,81,MasterySection,5968,311.0,Equation Solving Two or Fewer Steps,69274,2770,0,3,13518,54581,,-0.45,0,,67,25.0
236114,25392450,266603,83644,48877,87557,1,1,1,283743,tutor,algebra,8462,12634,8,MasterySection,6921,83.0,Divisibility Rules,54767,5117,0,3,283743,46304,,32,0,,11,11.0
62231,31576336,271321,85691,74795,139384,1,1,1,5812,tutor,algebra,9799,12873,33,MasterySection,9799,16.0,Counting Methods,45671,5049,0,2,5812,30449,,60,0,,6,6.0
452022,36428399,285726,92249,69833,129617,1,1,1,8165,tutor,algebra,8950,14020,9,MasterySection,8950,333.0,Finding Slope From Equation,58932,4780,0,3,8165,57935,,-1.5,0,,27,27.0
138135,28502036,270570,70727,55656,97908,1,1,1,12603,tutor,algebra,5952,11816,144,MasterySection,5952,50.0,Ordering Fractions,22763,73,0,0,12603,54699,,5-Jun,0,,2,2.0
177851,35112358,281003,78536,46761,85089,1,0,2,1,tutor,algebra,7201,12262,25,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,14182,46397,,17.63,0,,94,94.0
420037,32715834,278312,88591,48895,87575,1,0,1,6097,tutor,algebra,6922,13256,4,MasterySection,6922,311.0,Equation Solving Two or Fewer Steps,60450,5448,3,3,14447,46277,,,1,1.0,1,1.0
324486,33641117,279730,78494,50377,89270,1,1,1,83231,tutor,algebra,7212,12375,6,MasterySection,6272,296.0,Area Rectangle,46174,5056,0,2,83231,30009,,16,0,,2,2.0
145613,38293461,290858,96219,56378,100720,1,1,1,23790,tutor,choose_1,7629,14414,137,MasterySection,5951,50.0,Ordering Fractions,69274,2770,0,0,23790,55828,183486.0,,0,,9,9.0
164157,33295350,277519,78647,47572,86173,1,0,1,1220,tutor,algebra,7196,13241,27,MasterySection,6896,65.0,Least Common Multiple,22763,73,5,5,8565,29957,,,1,1.0,14,14.0
512926,33043509,278361,89252,34582,54082,0,0,2,1454,tutor,algebra,5962,13286,4,MasterySection,5962,,,59882,5260,3,3,4647,30677,,,1,1.0,23,
211725,38200790,290971,96283,37752,60037,1,1,1,34499,tutor,fill_in_1,6011,14414,31,MasterySection,6011,76.0,,69274,2770,0,6,34499,30305,,13:01,0,,5,5.0
509893,35064683,277118,88181,63045,120142,1,0,1,102921,tutor,algebra,8656,13221,2,MasterySection,8656,,,60029,5448,3,4,176476,63035,,,1,0.0,47,14.0
121517,29952335,268181,86544,47358,85876,1,1,1,5868,tutor,algebra,7180,12617,10,MasterySection,6876,47.0,Conversion of Fraction Decimals Percents,54857,5056,0,3,5868,29870,,20/100,0,,18,18.0
199975,35234547,280416,88479,32152,49303,0,0,1,8562,tutor,algebra,5925,13257,7,MasterySection,5925,74.0,Subtraction Whole Numbers,60450,5448,3,3,20441,30036,,,1,1.0,39,
200569,32977778,278123,89207,47011,85458,1,0,1,7966,tutor,algebra,6854,13287,1,MasterySection,6854,74.0,Subtraction Whole Numbers,59882,5260,0,0,7974,30525,,19,0,,5,5.0
344060,26963805,268013,78980,42904,76427,1,0,0,35020,tutor,algebra,6272,12351,100,MasterySection,6272,297.0,Area Trapezoid,42999,2770,0,0,35020,31690,,,2,,36,8.0
185502,34336153,280034,78576,47515,86116,1,1,1,50011,tutor,algebra,7201,12375,13,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,50011,46399,,47.25,0,,56,56.0
509229,32694815,276939,88158,34584,54088,0,0,1,23249,tutor,algebra,9862,13214,2,MasterySection,5962,,,60029,5448,3,3,28045,30677,,,1,1.0,16,
